Order_ID,Order_Date,Region,State,Segment,Category,Sub_Category,Ship_Mode,Quantity,Sales,Discount,Profit
ORD-1000,2024-04-11,East,New York,Corporate,Furniture,Furnishings,Standard Class,7,1151.65,0.2,265.26
ORD-1001,2023-07-11,Central,Illinois,Home Office,Furniture,Furnishings,Standard Class,4,783.4,0.0,162.5
ORD-1002,2023-07-09,East,New York,Consumer,Office Supplies,Storage,Standard Class,6,290.89,0.0,59.42
ORD-1003,2024-01-23,East,Massachusetts,Consumer,Technology,Accessories,Standard Class,1,626.25,0.2,88.54
ORD-1004,2023-02-04,West,Arizona,Consumer,Office Supplies,Art,Standard Class,6,208.12,0.0,57.57
ORD-1005,2024-07-09,East,Pennsylvania,Consumer,Office Supplies,Paper,First Class,2,69.66,0.3,18.68
ORD-1006,2023-12-04,East,Pennsylvania,Home Office,Furniture,Chairs,First Class,7,2500.29,0.1,335.74
ORD-1007,2023-12-10,East,New York,Consumer,Office Supplies,Binders,Same Day,1,27.96,0.0,8.24
ORD-1008,2023-02-10,Central,Michigan,Consumer,Technology,Accessories,Standard Class,4,2340.97,0.15,349.44
ORD-1009,2024-06-30,West,Oregon,Corporate,Office Supplies,Binders,Second Class,1,34.4,0.45,-0.94
ORD-1010,2024-04-05,West,Washington,Corporate,Office Supplies,Binders,Standard Class,3,66.3,0.15,9.57
ORD-1011,2023-02-05,East,Pennsylvania,Consumer,Furniture,Bookcases,Second Class,5,846.22,0.0,83.24
ORD-1012,2024-07-09,South,Florida,Home Office,Office Supplies,Binders,First Class,4,208.96,0.1,61.06
ORD-1013,2024-09-19,South,North Carolina,Consumer,Technology,Phones,Standard Class,5,2921.46,0.0,593.71
ORD-1014,2024-01-09,East,New York,Consumer,Technology,Machines,First Class,1,401.53,0.0,50.66
ORD-1015,2024-11-29,West,Oregon,Consumer,Office Supplies,Binders,Same Day,1,55.18,0.1,3.31
ORD-1016,2024-12-10,East,New York,Corporate,Office Supplies,Paper,Standard Class,7,311.67,0.2,37.8
ORD-1017,2023-05-24,Central,Ohio,Corporate,Office Supplies,Paper,Standard Class,1,26.28,0.1,6.8
ORD-1018,2023-05-28,South,Tennessee,Corporate,Technology,Accessories,First Class,7,2168.23,0.15,359.97
ORD-1019,2023-10-25,South,Florida,Consumer,Technology,Phones,First Class,3,994.26,0.0,342.67
ORD-1020,2023-06-09,East,New York,Home Office,Office Supplies,Art,Standard Class,3,82.81,0.0,21.54
ORD-1021,2024-09-16,South,Tennessee,Home Office,Technology,Copiers,First Class,4,2397.69,0.15,126.5
ORD-1022,2023-06-12,West,Oregon,Consumer,Technology,Machines,Standard Class,5,1648.54,0.15,199.76
ORD-1023,2023-02-02,East,New Jersey,Home Office,Office Supplies,Art,Second Class,4,155.23,0.15,19.43
ORD-1024,2023-10-04,East,Pennsylvania,Home Office,Office Supplies,Paper,Standard Class,6,261.47,0.15,80.86
ORD-1025,2023-06-21,West,Arizona,Corporate,Office Supplies,Storage,Standard Class,4,149.79,0.0,47.19
ORD-1026,2024-11-30,Central,Texas,Corporate,Technology,Phones,Standard Class,1,270.14,0.0,28.98
ORD-1027,2023-11-19,West,Oregon,Consumer,Furniture,Chairs,First Class,6,1045.76,0.15,362.9
ORD-1028,2023-09-03,West,Oregon,Corporate,Office Supplies,Paper,Second Class,7,218.93,0.2,64.15
ORD-1029,2023-11-17,South,Florida,Corporate,Furniture,Bookcases,Second Class,6,2093.69,0.3,-342.56
ORD-1030,2023-05-05,West,Oregon,Consumer,Technology,Accessories,Standard Class,6,2858.0,0.0,174.92
ORD-1031,2024-09-11,South,Georgia,Corporate,Office Supplies,Binders,Second Class,5,185.02,0.2,20.04
ORD-1032,2023-04-16,East,Massachusetts,Consumer,Office Supplies,Art,Same Day,6,134.62,0.1,24.24
ORD-1033,2024-10-02,Central,Illinois,Consumer,Furniture,Chairs,Standard Class,2,757.61,0.1,92.38
ORD-1034,2024-12-04,West,California,Corporate,Office Supplies,Binders,Standard Class,7,253.74,0.15,16.32
ORD-1035,2023-02-16,East,Massachusetts,Consumer,Technology,Phones,Standard Class,1,364.57,0.45,-53.62
ORD-1036,2024-06-05,Central,Texas,Consumer,Office Supplies,Binders,Second Class,6,259.37,0.0,42.12
ORD-1037,2023-12-02,Central,Illinois,Corporate,Office Supplies,Art,Standard Class,7,378.34,0.2,91.15
ORD-1038,2024-03-02,Central,Ohio,Consumer,Office Supplies,Art,First Class,5,214.54,0.2,52.66
ORD-1039,2023-02-04,West,California,Consumer,Furniture,Bookcases,Standard Class,7,1174.58,0.0,356.44
ORD-1040,2024-05-07,West,Washington,Consumer,Office Supplies,Storage,Second Class,3,155.13,0.15,45.15
ORD-1041,2024-07-01,West,Washington,Home Office,Office Supplies,Art,Same Day,2,59.5,0.1,18.45
ORD-1042,2023-09-30,East,New Jersey,Corporate,Office Supplies,Binders,Standard Class,1,38.68,0.2,5.65
ORD-1043,2024-03-30,South,Florida,Home Office,Furniture,Chairs,Standard Class,4,1550.06,0.3,-162.26
ORD-1044,2023-05-31,East,Massachusetts,Corporate,Office Supplies,Art,Second Class,1,24.97,0.3,8.55
ORD-1045,2024-08-10,South,Georgia,Corporate,Office Supplies,Storage,Second Class,1,47.65,0.15,3.83
ORD-1046,2024-05-31,West,California,Home Office,Office Supplies,Binders,Second Class,5,119.85,0.45,-10.43
ORD-1047,2024-02-19,Central,Michigan,Corporate,Technology,Phones,Standard Class,3,1652.58,0.1,292.95
ORD-1048,2023-02-27,South,North Carolina,Consumer,Office Supplies,Binders,Standard Class,4,100.63,0.0,24.63
ORD-1049,2023-04-27,Central,Texas,Consumer,Office Supplies,Binders,Standard Class,6,294.44,0.45,-28.01
ORD-1050,2024-03-16,West,California,Consumer,Technology,Phones,Second Class,2,612.97,0.0,84.8
ORD-1051,2023-11-26,South,Georgia,Corporate,Office Supplies,Art,First Class,6,221.69,0.15,29.53
ORD-1052,2023-02-10,West,Washington,Corporate,Office Supplies,Art,Standard Class,4,222.07,0.15,46.82
ORD-1053,2023-09-10,West,Arizona,Consumer,Office Supplies,Art,First Class,6,325.46,0.15,76.17
ORD-1054,2024-01-09,East,New Jersey,Consumer,Technology,Accessories,Standard Class,1,432.15,0.45,-9.75
ORD-1055,2024-05-25,East,Massachusetts,Consumer,Technology,Phones,Standard Class,1,245.47,0.0,63.21
ORD-1056,2024-12-14,East,New York,Corporate,Technology,Phones,Second Class,2,782.28,0.0,87.23
ORD-1057,2023-02-03,West,California,Home Office,Office Supplies,Paper,Second Class,4,121.61,0.0,24.26
ORD-1058,2024-02-05,East,Massachusetts,Home Office,Office Supplies,Art,Same Day,7,154.05,0.2,36.37
ORD-1059,2023-04-08,Central,Michigan,Consumer,Technology,Copiers,Standard Class,2,793.8,0.1,255.01
ORD-1060,2024-07-16,East,Pennsylvania,Consumer,Office Supplies,Storage,Second Class,1,54.23,0.0,17.79
ORD-1061,2023-07-24,East,New Jersey,Home Office,Furniture,Chairs,Standard Class,6,1850.1,0.0,134.61
ORD-1062,2023-12-26,West,Oregon,Consumer,Office Supplies,Storage,Second Class,4,132.39,0.3,25.44
ORD-1063,2024-08-26,Central,Illinois,Consumer,Office Supplies,Storage,Standard Class,2,54.39,0.0,4.69
ORD-1064,2023-03-14,East,Pennsylvania,Corporate,Technology,Phones,Second Class,2,1119.53,0.15,83.44
ORD-1065,2024-09-16,South,North Carolina,Consumer,Office Supplies,Binders,First Class,3,82.37,0.0,13.27
ORD-1066,2024-06-09,East,Pennsylvania,Consumer,Technology,Machines,Second Class,3,1022.92,0.15,325.86
ORD-1067,2023-01-15,East,Massachusetts,Consumer,Furniture,Tables,Standard Class,1,334.35,0.0,73.29
ORD-1068,2023-01-25,South,Georgia,Consumer,Office Supplies,Art,Standard Class,4,133.71,0.15,25.92
ORD-1069,2024-07-07,East,Pennsylvania,Corporate,Office Supplies,Art,Standard Class,1,32.81,0.3,7.62
ORD-1070,2023-10-04,West,Oregon,Home Office,Technology,Phones,Standard Class,6,2316.86,0.1,707.21
ORD-1071,2024-06-26,West,Washington,Home Office,Furniture,Bookcases,Standard Class,5,1977.97,0.0,334.98
ORD-1072,2024-07-27,South,Tennessee,Consumer,Furniture,Tables,Standard Class,1,329.61,0.1,63.61
ORD-1073,2024-06-15,South,Florida,Corporate,Furniture,Tables,Standard Class,1,282.46,0.15,79.18
ORD-1074,2024-11-20,West,Washington,Consumer,Furniture,Furnishings,Standard Class,2,574.3,0.1,63.47
ORD-1075,2024-07-03,Central,Ohio,Consumer,Office Supplies,Binders,Standard Class,7,341.6,0.0,104.26
ORD-1076,2024-06-30,Central,Illinois,Home Office,Furniture,Furnishings,Standard Class,1,335.28,0.1,101.44
ORD-1077,2023-01-05,West,California,Consumer,Technology,Copiers,Standard Class,3,1518.24,0.1,239.35
ORD-1078,2024-11-21,South,Florida,Consumer,Technology,Copiers,Standard Class,5,1802.76,0.15,362.02
ORD-1079,2023-02-08,West,California,Corporate,Office Supplies,Paper,First Class,3,108.31,0.0,29.15
ORD-1080,2024-02-24,Central,Ohio,Consumer,Technology,Phones,Second Class,5,1503.35,0.0,187.24
ORD-1081,2023-04-28,Central,Illinois,Corporate,Furniture,Tables,First Class,6,1704.72,0.1,318.95
ORD-1082,2024-11-15,Central,Michigan,Consumer,Technology,Phones,Standard Class,2,489.76,0.1,107.58
ORD-1083,2023-05-14,Central,Michigan,Home Office,Office Supplies,Storage,Standard Class,7,260.19,0.3,24.98
ORD-1084,2024-04-04,East,Pennsylvania,Consumer,Furniture,Chairs,First Class,4,1165.13,0.15,380.71
